"Date","Price","Open","High","Low","Vol.","Change %"
"09/02/2023","23.46","21.04","24.02","20.75","","14.11%"
"08/02/2023","20.56","21.38","22.92","20.12","","8.44%"
"07/02/2023","18.96","22.46","22.71","18.74","","-6.42%"
"06/02/2023","20.26","21.14","21.64","20.23","","20.74%"
"03/02/2023","16.78","17.69","18.54","16.78","","-11.54%"
"02/02/2023","18.97","18.31","20.07","17.99","","-26.22%"
"01/02/2023","25.71","33.19","34.63","25.68","","-11.25%"
"31/01/2023","28.97","31.08","31.37","28.54","","3.54%"
"30/01/2023","27.98","27.02","28.91","26.75","","33.17%"
"27/01/2023","21.01","22.03","22.05","20.51","","-2.82%"
"26/01/2023","21.62","22.41","22.75","21.62","","6.08%"
"25/01/2023","20.38","21.97","23.31","20.03","","4.62%"
"24/01/2023","19.48","20.96","21.51","18.99","","2.04%"
"23/01/2023","19.09","19.90","20.22","18.97","","16.47%"
"20/01/2023","16.39","17.70","18.03","15.78","","-5.97%"
"19/01/2023","17.43","18.65","19.42","17.15","","-5.01%"
"18/01/2023","18.35","17.82","19.63","15.67","","2.97%"
"17/01/2023","17.82","19.70","19.88","17.49","","26.92%"
"13/01/2023","14.04","16.55","16.64","13.93","","-13.49%"
"12/01/2023","16.23","18.97","18.99","16.22","","-54.89%"
"11/01/2023","35.98","34.93","37.05","34.15","","18.98%"
"10/01/2023","30.24","31.85","32.14","30.11","","4.67%"
"09/01/2023","28.89","28.96","29.04","27.97","","26.49%"
"06/01/2023","22.84","25.30","25.41","22.69","","-9.76%"
"05/01/2023","25.31","25.47","26.16","24.99","","-2.65%"
"04/01/2023","26.00","29.38","30.16","25.87","","-2.48%"
"03/01/2023","26.66","27.65","28.03","26.30","","33.70%"
"30/12/2022","19.94","20.69","21.10","19.53","","0.50%"
"29/12/2022","19.84","20.84","21.10","19.61","","-12.17%"
"28/12/2022","22.59","22.62","23.80","19.68","","11.39%"
"27/12/2022","20.28","23.56","24.47","20.25","","21.95%"
"23/12/2022","16.63","19.60","21.40","16.53","","-15.50%"
